Index,Section,Name,Brewery,Style,Strength,Type,Style,Description,,,,
85,5,CHOCOLATE MACADAMIA STOUT,Hudson Brewing ,Stout - Imperial,7.50%,Roast (Rich & Nutty),Stepping Up,Balanced chocolate character with a silky smooth stout finish and an added mild nutty macadamia character on the palate.,,,,
86,5,PEPPERMINT CRISP TART,Impi Brewers ,Specialty Beer,6%,Roast (Creamy & Minty),Stepping Up,"The fresh mint bursts complement the rich and creamy indulgence in this Pastry Milk Stout. Caramel, peppermint chocolate, cream and cookies. Gesondheid!",,,,
87,5,WESLEY SNEIPS SOUR NEIPA,Kaiju! Beer ,IPA - New England,6%,Hoppy (Juicy & Tart),Stepping Up,A deluge of tropical aromas and flavours is deftly balanced with a zingy tartness enhancing the fruity experience.,,,,
88,5,FACE BERSERKER,Little Bang Brewing Co ,Specialty Beer,8%,Sour/Tart (Fruity & Rich),Adventurous,"This is GABS. We all know what what we're here for. We've taken our most popular beer, Face Inverter Citrus Super Sour and amped it all up to 11. More Sour! More Citrus! More booze! More is more!",,,,
89,5,TEA OR COFFEE?,Molly Rose Brewing ,Lager - Pale,6.50%,Crisp (Roast & Spice),Stepping Up,Why not both? We've combined the most beautiful elegant Darjeeling tea with lashings of a funky Proud Mary natural coffee.,,,,
90,5,NEKA NEKA,One Drop Brewing Co,Sour - Gose,7%,Sour/Tart (Fruity & Funky),Adventurous,"Imperial Berliner Gose brewed with oat, wheat, milk sugar, and marshmallow, plus a massive dose of juiced beetroot and raspberry puree. Hand-selected black truffle salt blends to give a unique and complementary salinity. Defyingly decadent flavours of earth bound fruit, mixed berry parfait and preserved jam.",,,,
91,5,GROOVY SMOOTHIE STRAWBERRY & GUAVA SOUR,Public Brewing Co,Sour - Kettle Sour,5%,Hoppy (Creamy & Fruity),Easier Drinking,"Brewed for Gabs 2022. The Groovy Smoothie Strawberry & Guava is packed with tons of Strawberry, Pink Guava and Tahitian Vanilla. All our Groovy Smoothies are made with marshmallows (lactose free). Thick, creamy, fruity & groovy, baby.",,,,
92,5,HAZELNUT MILKSHAKE NITRO STOUT,Seasonal Brewing Co,Stout - American,6%,Hoppy (Fruity & Spicy),Stepping up,"Hazelnut, chocolate and vanilla with a soft, creamy mouthfeel.",,,,
93,5,LULO AND PASH,Social Bandit Brewing Co ,Sour - Hoppy,7.20%,Sour/Tart (Hoppy & Fruity)),Adventurous,Hoppy sour IPA with strong passionfruit aromas and flavour. Very sour!,,,,
94,5,RA RA RASPOUTINE,The Catchment Brewing Co,Stout - Imperial,9.50%,Roast (Funky & Savoury),Adventurous,"Chips, cheese, and gravy: a classic combination loved by millions all over the world, especially after a big night out. Brewed with fresh cut chips from our kitchen, whey from a local cheesemaker, and the finest supermarket brand gravy granules, this rich, smoky RIS will leave you with a full stomach.",,,,
95,5,PEACH & SAGE,Ventura Brewing ,Seltzer,5%,Crisp (Fruit & Spice),Stepping Up,"Bursting with fresh peach over a green tea base this delectable drop is brought back to earth and rounded out by the subtle notes of home grown sage, it'll hit you exactly where you didn't know you needed it to.",,,,
96,5,SOUTH SIDE SOUR,Wild Life Brewing Co.,Sour - Kettle Sour,5.50%,Sour/Tart (Fruity),Stepping Up,"A brew inspired by the classic southside cocktail, combined with our tried and tested sour base recipe, the addition of lime and mint creates a refreshing citrusy quencher.",,,,
97,5,KAREN'S SHANDY SOUR,Your Mates Brewing Co.,Sour - Kettle Sour,7%,Sour/Tart,Stepping Up,"Sweet Lemonade and refreshing zesty sour, our take on an iconic beer mixer!",,,,
98,6,JUICY IN THE SKY WITH DIAMONDS,Aunty Jacks,IPA - Hazy,6.70%,Hoppy (Juicy & Hazy),Stepping Up,"Inspired by a Beatles song to produce a juicy IPA without the LSD, but a unique blend of local and US aromatic hops to deliver a kaleidoscope of flavours such as tangerine and grapefruit, balanced by a bitterness reminiscent of marmalade.",,,,
99,6,JALAPENO MARGARITA SOUR,Beerfarm Metricup,Sour - Gose,7%,Sour/Tart (Citrus & Spice),Adventurous,"As much as we love a good schooner or two here at Beerfarm, we never say no to a margarita! Preserved lemons give our moreish gose base a citrus twist finished with a bit of chilli and moroccan spice.",,,,
100,6,PIXIE JUICE,Blackflag Brewing Co,Sour - Kettle Sour,7%,Sour/Tart (Sweet Lolly),Stepping Up,Cotton Candy and Pop Rocks!,,,,
101,6,SNEAKY SELTZER,Bondi Brewing Co,Seltzer,4%,Crisp,Easier Drinking,I can't believe it's not beer!,,,,
102,6,CHOKE BERRY'S NEW SOUND - CHOKEBERRY & MARSHMALLOW SOUR,Bonehead Brewing,Specialty Beer,7%,Sour/Tart (Creamy & Sweet),Stepping Up,"A creamy, mixed culture sour stacked full of berries, marshmallow fluff and a splash of vanilla. Big, bold and beautiful, expect this purple beauty to hit the high notes with a tart intro, ice-cream and bubble gum chorus and a palate cleansing acidic encore.",,,,
103,6,BURLEIGH NO DONUTS,Burleigh Brewing,Lager - Helles,7%,Crisp (Malty & Herbal),Easier Drinking,"Clean, Malty balanced with Herbal Hop Aroma.",,,,
104,6,RUM BARREL AGED BIG NELLIE BARLEY,Coastal Brewing Co,Barleywine - US,11%,Malt (Rich and Robust),Adventurous,We took our Big Nellie Barley Wine and aged it in South Australian rum barrels for 12 months!! This one's for the big beer lovers!,,,,
105,6,RETURN OF THE RED EYE,Dainton Beer,IPA - Red,11.80%,Hoppy (Spicy & Rich),Adventurous,"Big resinous Triple Red IPA, hoppy with a rich toffee and rye spiced base with hints of cherry and oak and a sublime finish. Aged 12 months in Starward whisky and Cabernet soaked French Oak barrels then fresh fermented and dry hopped. All the best beer things in one glass!",,,,
106,6,TRINITY SOUR,Eumundi Brewery,Sour - Kettle Sour,4.50%,Sour/Tart (Fruity & Spicy),Adventurous,"A light tart beer with a Sunshine Coast twist. The sour backbone of the beer along with a low bitterness allows the macadamia, pineapple, and ginger to shine through. Thirst quenching and appealing to both beer and non-beer drinkers alike.",,,,
107,6,FARMHOUSE ALE,Five Barrel Brewing,Sour - Mixed Fermentation,6%,Funky (Sour),Stepping Up,"We set about creating a beer using only local ingredients, including wild harvested yeast. The journey lead us down a path that explored traditional brewing, as well as modern ingenuity! The results are truly special, and are unlike anything we've ever created.",,,,
108,6,PASTEL NEON SOUR - TRIPLE FRUITED ICE CREAM,Good Land Brewing Co,Sour - Fruit,7%,Sour/Tart (Fruity & Creamy),Stepping Up,"Jimmy & Jesse were wondering how much fruit they could actually get into a tank. Crazy stupid amounts of Blackberries, Blackcurrant, Fresh Blueberries, Big Marshmallows, Sweet Raspberries, creamy creamy Milk Sugar, plus Real Vanilla for a big sour ice cream finish.",,,,
109,6,BIG BLENDER,Little Creatures,IPA - Hazy,8%,Hoppy (Juicy & Hazy),Adventurous,"The big brother to the Hazy IPA, with more hops, more juice, more booze and more HAAAAAAZZZZZEEEEE.",,,,
110,6,ALMIGHTY CANNOLO,Moon Dog Craft Brewery,Belgian Tripel,7.50%,Malt (Funky & Spicy),Adventurous,"A collaboration with Melbourne cannoli masters Cannoleria. A Belgian style ale brewed with Ricotta, vanilla, cinnamon and pistachio.",,,,
111,6,HI FI - IMPERIAL MIDSTRENGTH,Otherside Brewing Co,Pale Ale - Hazy,6%,Hoppy (Juicy & Hazy),Stepping Up,"An imperial interpretation of our beloved Lo-Fi midstrength citrus ale, this beer is hazier, hoppier, and probably marginally less sessionable. A hazy strong pale with grapefruit and orange.",,,,
112,6,DOUBLE BLOODY MARIA GOSE,Reckless Brewing Co X Sausage Queen Brewing,Specialty Beer,7%,Sour/Tart (Spicy & Savoury),Adventurous,"The perfect beer to accompany your sausage sizzle, our Double Bloody Mary Gose is full of fresh tomato juice, a hint of spice and a few secret family recipe ingredients. We brewed this beer with our mates at Sausage Queen Brewing!",,,,
113,6,HAWAIIAN PIZZA IPA,Seeker Brewing,IPA - American,7.10%,Hoppy (Smoky & Fruity),Adventurous,"This year we have made a Hawaiian Pizza IPA loaded with Strata and BRU-1 hops and a splash of fresh pineapple juice, we add a slight smokiness from smoked malt to replicate the ham and a dash of lactose for the smooth cheesy goodness",,,,
114,6,THE DUCHESS FRUITED STOUT,St Andrew's Beach Brewery,Stout - Sweet Stout,5.80%,Roast (Fruity & Rich),Stepping Up,A rich and decadent stout underpinned by jammy Hawkes Farm strawberries.,,,,
115,6,MICHELADA - MEXICAN SPICY CLAM TOMATO GOSE,The Zythologist,Sour - Gose,6%,Sour/Tart (Spicy & Savoury),Adventurous,"An exquisite beverage tied to the heart of Mexican folklore, the Michelada is a drink prepared with beer, lime, salt, hot sauces, tomato juice, and clam juice! Yes, you read that right. This unusual but refreshing cocktail is also the most enjoyable and efficient cure against hangovers. With science, we recreated this sensorial experience in one single product: sour, salty, savoury, spicy, and strangely delicious. Hungover or not, you will be delighted. Enjoy and viva Mexico!",,,,
116,6,RASPBERRY PAVLOVA HARD SELTZER,W Seltzer,Seltzer,6%,Crisp (Fruity & Sweet),Stepping Up,"We've taken our hugely popular Seltzer and dialled it up in every way possible. Coming in at a winter-warming 6% ABV and lavishly loaded up with decadent Raspberry and Vanilla flavours, this really is a Raspberry Pavlova in liquid form. Like our other W Seltzer flavours it's also all natural, gluten free and vegan as well as being low on sugar, carbs and calories.",,,,
117,6,GUMMI VENUS,Willie The Boatman,Specialty Beer,6.50%,Sour/Tart (Fruity),Stepping Up,"The rarest beer of them all. Brewed with gummi artisans, we added hemp seeds and sour-apple schnapps to put a modern twist on the classic gummi bear sour ale style. It's a thing of beauty that will have you drooling for more.",,,,
