Index	Section	Name	Brewery	Character	Strength	Complexity	Style	Description				
84	5	Slant Six	Ale Mary Brewing Co	Hoppy (Fruity)	6	complexity	IPA - Australian	"This IPA pours a brilliant red hue with a light haze and a fluffy, long-lasting head. The aroma is intensely inviting, bursting with tropical fruit and citrus notes thanks to the Galaxy hops and hop oil. On the nose, expect prominent scents of ripe passionfruit, juicy peach, and hints of pineapple, layered over subtler aromas of lime zest and pine resin."				
85	5	Tapache	Alice Springs Brewing Co	Roast  (Fruity and Spicy)	4.5	complexity	Stout - Tropical	Spiced cardamom & cinnamon stout bursting with tangy pineapple .				
86	5	Fields of Red	Hop Hen Brewing	Hoppy (Malty)	7.5	complexity	IPA - Red	A beautiful blend of rye and fresh beetroot combine with a hearty malt bill and the freshest of hops to provide a delicious balance between malty goodness and hop forward flavours and aromas.				
87	5	Brisket Burnt Ends Rauchbier	Moffat Beach Brewing Co	Smoke (Malty)	6	complexity	Rauchbier	"Brisket Burnt Ends Rauchbier is crafted with malt smoked in-house on our own smoker, alongside the brisket we serve in our brewery. Rich hickory smoke, caramelised malt and a hint of BBQ umami create a bold yet smooth brew, delivering the perfect balance of smoke, sweetness and subtle spice."				
88	5	Rock Jock	2 Sherpas Brewing Company Pty Ltd	Hoppy	6.2	complexity	IPA - Hazy	"Rock-Jock Hazy IPA features a smooth malt backbone, bold hops, and a hint of Himalayan pink salt for a refreshing twist. Full-bodied and velvety, it?s a bold beer inspired by the fearless Mountaineers."				
89	5	WTDHWCIIIPA	Devilbend Farm Beer Co.	Hoppy (Fruity)	9	complexity	IPA - American	"This bold and beautifully crafted Triple IPA is a showcase of fresh hops grown on Devilbend Farm. A golden amber pour with a slight haze, the beer releases a vibrant burst of citrus, pine, and floral aromas, thanks to generous triple dry-hopping with Cascade, Chinook, Centennial, and Columbus hops."				
90	5	Cucumber Lychee Gose	Mountain Monk Brewers	Sour	4.5	complexity	Sour - Gose	"Cucumber & lychee ? why not? Our kettle soured Cucumber Lychee Gose is crisp, cool and aromatic due to our fresh natural cucumber and lychee, enhanced with a refreshing salty pucker, to cleanse your palate or session on for great festival times!"				
91	5	Bright-Eyed Lager	Earlybird	Crisp	<0.5	complexity	Lager - Australian	"Rise and shine after an evening sipping back this lager as deliciously smooth and balanced as the perfect lawn bowl. Crisp and dry like a summer wicket, it finishes malty with a welcome bitterness that?ll leave you filled with anything but regret."				
92	5	Veez Nutz	The Social Brewers	Roast & Savoury	5.1	complexity	Porter	"An English Porter, Vegemite, Stale Bread, and Indigenous Macadamia Nuts create a harmonic treaty of flavours. Some might prefer division but we want to show how much better everything, especially beer, can be when we recognise and celebrate Indigenous Australia. An homage to Vegemite Toast."				
93	5	Bench	Braeside Brewing Company	Roast	5.8	complexity	Stout - Sweet Stout	"Latte Stout, cold drip locally roasted beans. Thick oatmeal base and a vanilla almond aroma. (Contains Coffee, Lactose & almond)"				
94	5	F you I wont do what you tell me	Green Gully Brewing & Island Beer	Funky	5	complexity	Saison/Farmhouse Ale	Our festival take on ageless European style. it will buck the modern system with comments like ?this tastes really good considering it was made by a farmer and not a bald fat monk? Hybrid non diastatic yeast with a little something from the farm. Punters will be surprised.				
95	5	Banana Slamma	Impi Brewers	Fruity	4.6	complexity	Weizen/Weissbier/Hefeweizen	Taking a classic German wheat beer and breaking the Reinheitsgebot (beer purity law) by adding Hand toasted Coconut to it!! Giving us a wonderfully light tropical aroma and flavor of banana and toasted coconut with light clove notes layered in.				
96	5	Apple-Y-Ever After	Capital Brewing and Batlow Cider Collab	Sweet & Spicy	8.5	complexity	Apple Pie Graf	"When beer and cider tied the knot, they exchanged fresh Batlow apple juice and Capital?s ale as vows. The result? A union made in brewing heaven. Tangy apple and warm cinnamon say ?I do? to sweet toffee and biscuit undertones, sealing the deal on pure apple pie bliss. Sip it and raise a glass to this unique style? The love child of beer and cider."				
97	5	Dark Matter	PSYCHO SUZIE?S BREWING	Hoppy (Roast)	7	complexity	IPA - Black	"Crisp bodied, light coffee and roast malty-ness, mid to high bitterness with punchy tropical notes"				
98	5	"Honey, where did Candy go?"	Surfers Paradise Brewing Co	Sweet (Mead)	8	complexity	Hybrid Mead	Luscious honey meets candy!				
99	5	Ginger Pineapple Sour	Broulee Brewhouse	Crisp (Fruity)	4.2	complexity	Lager - Australian Pilsner	"Tropical pineapple, mango and ginger sour with a tart finish"				
100	5	Dawn?s Sweet Embrace	Westside Ale Works	Roast (Sweet)	10.2	complexity	Stout - Pastry	"Indulge in the rich embrace of dark chocolate, melding seductively with layers of buttery croissant pastry. With each sip, velvety cocoa caresses your palate, teasing you with hints of roasted malt and a touch of vanilla sweetness. The mouthfeel is luxuriously silky, like a liquid dessert that?s dangerously easy to fall for."				
101	6	Zing and Crust	Shout Brewing Co	Sour (Spicy)	6	complexity	Gingered-Bread Gose	"Sourdough, salt, ginger, sweet and sour. Get ready for Zing and Crumb. Sweet bready goodness followed by some zinging ginger kick. The beauty though is in all of the complex processes that build this purely unique ale"				
102	6	Brownie Bomb	Wolf of the Willows	Malty (Sweet)	5.5	complexity	Brown Ale - UK	"This year we have collaborated with one of Melbourne?s top bakeries, Lumos. Inspired by their famous Brownie Bomb pastry, we?ve brewed a UK style Brown Ale, layered with bready, pastry malts and added dark chocolate, organic cacao nibs and baked pastry offcuts curtesy of Lumos Bakery."				
103	6	Seeds Flowers Leaves	Precinct Brewing	Crisp (Hoppy)	6	complexity	Lager - Hoppy	"A unique style of beer, loosely based on a West Coast Pilsner/Imperial Rice Lager . Infused with premium Green and White teas, this hoppy lager is dry hopped with a balanced bouquet of NZ/Euro hops to match the fine characteristics of the tea strains. Loose leaf tea is also dry hopped into the beer. The malt base also incorporates aromatic rice cooked in house."				
104	6	Helles Marzen	Schlenkerla	Malty (Smoke)	5.1	complexity	Rauchbier	"Introducing our **Helles Marzen** ? a delightful twist on the classic Marzen. This brew retains the rich, full-bodied malt character you love, but with a lighter touch of smoked malt. Its pale, golden hue (hence ?Helles?) is a visual treat, while the balanced maltiness offers a satisfying depth of flavor. Enjoy the classic Marzen experience with a subtle, less smoky finish. Perfect for those who appreciate tradition with a modern twist!"				
105	6	Winterfest	Weihenstephan	Malt	5.8	complexity	Lager - Festbier/Marzen	"When the temperature drops outdoors, it is time for a Winterfestbier. This beer is particularly tasty when paired with hearty dishes. The bright, golden color of our Winterfestbier brightens the dark depths of winter. A lengthy maturation period gives this beer its full-bodied flavour. A fine, aromatic bouquet emanates from the densely latticed foam crowning this winter seasonal, emphasizing the strong character of the beer."				
106	6	Angry Miner	Bendigo Brewing		6.5	complexity	Fuggle IPA	"A tawny coloured IPA with a rich, malty flavours of bread crust and caramel, and house-made dark invert sugar adding hints of rum and fruit cake. Heavy kettle and dry-hopping with NSW Fuggle hops complements the malt and sugar-derived flavours with notes of spicy, bitter marmalade. Our house ale yeast brings everything together with its signature plum and citrus aromatics."				
107	6	Golden Tears and Red Ale	Amber Brewing		5%	complexity	Ale	no description				
108	6	Rubia	Miguel Maestre		4.20%	complexity	Pale Ale	no description				
109	6	Eddies Smooth Pear	Eddie's Cider	Fruity (Cider)	3.8	complexity	Traditional Perry	"Brilliant colour standing out. Stewed fruit / honey-like nose, floral, pear drop, rich caramel. Generous and creamy texture with perfect sweetness and acid complexity. Makes a nice cider to have with cheese or food."				
110	6	Cidermakers Select Classic Dry	SPREYTON CIDER CO	Fruity (Cider)	6.5	complexity	Cider with Fruit	"Cidermakers Select Dry Cider is the perfect balance of crisp freshness and complex flavour. Made from carefully selected cider apples, each sip delivers a clean, refreshing taste with a dry finish. Ideal for those who appreciate a more refined, less sweet profile. A true cider enthusiast?s drink!"				
111	6	Mango Margarita	Casa Spirits & Cocktails		8	complexity	Spirit forward	"Mango, a hint of blood orange and all the lemon and lime you can imagine."				
112	6	Toddy	Flying Brick Cider Co	Sweet (Cider)	7.5	complexity	Specialty Cider	a lighter refreshing spiked drink around 7.5% and Juice sweetened @ 65g/l RS still (not carbonated).				
113	6	Tropical Storm	Matso's Brewery		6	complexity	Cocktail	"The tropical storm brings sweet relief, like the first rain to break the hot summers sticky humidity. Strong rum flavours and tropical passionfruit balanced with citrussy lime make this fun refreshment quenchingly cool."				
115	6	Raspberry Rush	Barrys	Fruity	4.2	complexity	Goser	no description				
116	6	Crusher ? Hard Creaming Soda	Dad & Dave's Brewing	Sweet	4.5	complexity	Seltzer	"Crusher: Hard Creaming Soda is a brewed hard soda that combines the nostalgic, smooth sweetness of traditional cream soda with an adult twist of alcohol. It?s designed to evoke the creamy, fizzy sensation of classic cream soda but with a punch, offering a refreshing, sweet, and slightly vanilla-forward flavor profile. Drink Responsibly or not at all."				
117	6	Aperatito	2 Halfs Brewing Distilling #2		9	complexity	Spritzes	"A cultural ritual meant to kickstart the afternoon, our Aperatito is bittersweet Manhattan-style lightly sparkling cocktail."				
118	6	Lemon Desert Lime Iced Tea	Ventura Brewing	Fruity	6	complexity	Spritzes	"Experience the zesty refreshment of our Lemon & Desert Lime Iced Tea A sun soaked taste of Australia in every sip. Bursting with the vibrant tang of native desert lime and the crisp brightness of lemon, this brew is a celebration of nature?s bold flavours. Perfectly balanced with a touch of natural sweetness, it quenches your thirst while invigorating your senses. Whether you?re chasing summer vibes or unwinding after a long day, this iced tea is your ticket to pure, revitalising bliss. Share it with friends, and savour the unmistakable essence of Australia. Refreshment redefinedthis is iced tea, elevated."				
